                                                                                Bank  of  Maharashtra                                                       Date: 07-MAR-25 02:56:42
                                                                          BOM_POSITION_OF_SUSPENSE_ACCOUNTS                                                                Page:   1
                                                                                As on date : 06-Mar-2025                                                                               
                                                                                                                                                                                    
Currency: INR                                                                                                                                                                       
 Branch=09999 (CENTRAL OFFICE)                                                                                                                                             
Branch                                 MULTI REMIT         TRICKLE FEED        O L R R             TECH CONTRA         CGL SUSPENSE        NEFT SUSPENSE       RTGS SUSPENSE        
00030 KIRLOSKARWADI                            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00031 BELGAUM CITY                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00032 CHHA SAMBHAJINAGAR                       0.00                0.00                0.00                708.00              0.00                0.00                0.00
00033 JALNA MAIN                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00034 AKOLA M. G. ROAD                         0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00035 NANDED                                   0.00             4283.00                0.00               9328.45              0.00                0.00                0.00
00036 HINGOLI                                  0.00                0.00                0.00               2200.00              0.00                0.00                0.00
00037 AMBEJOGAI                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00038 LATUR MAIN                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00039 MUMBAI SION                              0.00             1301.00                0.00                  0.00              0.00                0.00                0.00
00040 PUNE SOMWARPETH                          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00041 PUNE TILAK ROAD                          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00042 MUMBAI GOKHALE RD DADAR                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00043 PUNE SHIVAJINAGAR                     5249.00           144732.00                0.00             102753.73              0.00                0.00                0.00
00044 PARALI VAIJNATH                          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00045 MUMBAI DR AMBEDKAR RD DDR                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00046 KHAMGAON                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00047 YEOTMAL                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00048 MUMBAI CENTRAL                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00049 CHATURSHRUNGI PUNE                       0.00                0.00                0.00                131.50              0.00                0.00                0.00
                                                                                Bank  of  Maharashtra                                                       Date: 07-MAR-25 02:56:42
                                                                          BOM_POSITION_OF_SUSPENSE_ACCOUNTS                                                                Page:   2
                                                                                As on date : 06-Mar-2025                                                                               
                                                                                                                                                                                    
Currency: INR                                                                                                                                                                       
 Branch=09999 (CENTRAL OFFICE)                                                                                                                                             
Branch                                 MULTI REMIT         TRICKLE FEED        O L R R             TECH CONTRA         CGL SUSPENSE        NEFT SUSPENSE       RTGS SUSPENSE        
---------------------------------------==================  ==================  ==================  ==================  ==================  ==================  ==================   
00050 MUMBAI WORLI                             0.00                0.00                0.00               5629.05              0.00                0.00                0.00
00051 BARSHI                                   0.00                0.00                0.00               2124.00              0.00                0.00                0.00
00052 AKLUJ                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00053 MUMBAI VILEPARLE EAST                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00054 ARVI                                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00055 CHANDRAPUR                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00056 DHAMANGAON                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00057 DURG                                     0.00                0.00                0.00                200.00              0.00                0.00                0.00
00058 GONDIA                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00059 HINGANGHAT                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00060 NAGPUR DHARAMPETH                        0.00             4667.00                0.00                 40.86-             0.00                0.00                0.00
00061 NAGPUR ITWARI                            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00062 PULGAON                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00063 RAJNANDGAON                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00064 WANI YEOTMAL                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00065 WARDHA                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00066 WARORA                                   0.00             8050.00                0.00                  0.00              0.00                0.00                0.00
00067 MUMBAI S.P.ROAD                        344.00                0.00                0.00               1680.86              0.00                0.00                0.00
00068 BANDA                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00069 PHONDAGHAT                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00070 KUDAL SINDHUDURG                         0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00071 SAVANTWADI                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00072 MALVAN                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00073 BARAMATI                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00074 KHOPOLI                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00075 LONAVALA                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00076 PUNE CAMP                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00077 PUNE LAXMI ROAD                          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00078 OJHAR TAMBAT                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00079 MUMBAI PAREL                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00080 PUNE PIMPRI                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00081 PUNE HADAPSAR I.E.                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00082 MUMBAI GOREGAON WEST                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00083 MARGAON                                  0.00            20434.00                0.00                  0.00              0.00                0.00                0.00
00084 GOA PANJIM                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00085 ICHALKARANJI                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00086 URAN (RAIGAD)                          300.00                0.00                0.00                  0.00              0.00                0.00                0.00
00087 JATH                                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00088 THANE SSI (I E THANE)                    0.00                0.00                0.00                  0.00              0.00           212445.76                0.00
00089 MUMBAI CHEMBUR                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00090 MUMBAI MULUND WEST                       0.00                0.00                0.00               2400.00              0.00                0.00                0.00
00091 MUMBAI MAZGAON                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00092 MUMBAI BORIVLI WEST                      0.00                0.00                0.00               4412.00-             0.00                0.00                0.00
00093 MUMBAI THK MARG                          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00094 VIRAR                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00095 BHANDARA                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00096 NIRA                                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00097 RAHURI                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00098 MURTIZAPUR                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00099 BASSIEN                              46872.80             8662.00                0.00                  0.00              0.00                0.00                0.00
                                                                                Bank  of  Maharashtra                                                       Date: 07-MAR-25 02:56:42
                                                                          BOM_POSITION_OF_SUSPENSE_ACCOUNTS                                                                Page:   3
                                                                                As on date : 06-Mar-2025                                                                               
                                                                                                                                                                                    
Currency: INR                                                                                                                                                                       
 Branch=09999 (CENTRAL OFFICE)                                                                                                                                             
Branch                                 MULTI REMIT         TRICKLE FEED        O L R R             TECH CONTRA         CGL SUSPENSE        NEFT SUSPENSE       RTGS SUSPENSE        
---------------------------------------==================  ==================  ==================  ==================  ==================  ==================  ==================   
00100 PUNE SWARGATE                            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00101 INDAPUR                              46374.00                0.00                0.00                  0.00              0.00                0.00                0.00
00102 PUNE NAVIPETH                            0.00               44.00-               0.00                  0.00              0.00                0.00                0.00
00103 PARBHANI                                 0.00                0.00                0.00               7067.97-             0.00                0.00                0.00
00104 ALANDI                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00105 BARODA RAOPURA                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00106 INDORE MG ROAD                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00107 NAGPUR MAHAL                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00108 MUMBAI MAHIM LJ ROAD                 21065.00-               0.00                0.00               1269.00              0.00                0.00                0.00
00109 DOMBIVALI(E)                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00110 THANE NAUPADA                            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00111 AKKALKOT                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00112 MANCHAR                                  0.00             5645.00                0.00               5730.13              0.00                0.00                0.00
00113 RAHIMATPUR                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00114 PUNE DAPODI                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00115 BADNERA                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00116 PUNE KARVE ROAD                          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00117 MUMBAI MALAD WEST                        0.00                0.00                0.00                186.83-             0.00                0.00                0.00
00118 PUNE AUNDH                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00119 MUMBAI NAGDEVI STREET                    0.00                0.03-               0.00                  0.00              0.00                0.00                0.00
00120 AUSA                                     0.00                0.00                0.00                  2.00-             0.00                0.00                0.00
00121 BHIR                                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00122 DIGRAS                                   0.00                0.00                0.00              60000.00              0.00                0.00                0.00
00123 NASIK NASIK ROAD                         0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00124 PURNA                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00125 DHARASHIV                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00126 UDGIR                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00127 PUNE CHINCHWAD                        3888.00                0.00                0.00                  0.00              0.00                0.00                0.00
00128 MUMBAI BHANDUP                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00129 DUDHANI                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00130 OTUR                                     0.00                0.00                0.00                236.00              0.00                0.00                0.00
00131 LONI KALBHOR                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00132 MUMBAI B S ROAD                          0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00133 NAGPUR KAMPTEE                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00134 SATARA CITY                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00135 PUNE MUNDHWA                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00136 BADLAPUR                                 0.00                0.00                0.00                485.00              0.00                0.00                0.00
00137 NAGPUR HANUMAN NAGAR                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00138 PATHARDI                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00139 PUNTAMBA                                 0.00             1790.00                0.00                  0.00              0.00                0.00                0.00
00140 NEWDELHI KAROLBAGH                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00141 DEWAS                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00142 KHANDWA                                  0.01                0.00                0.00                  0.00              0.00                0.00                0.00
00143 PANDHANA                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00144 SANSAR                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00145 AMBARNATH                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00146 MURUM                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00147 NEWASA                                   0.00                0.00                0.00                177.00              0.00                0.00                0.00
00148 BHUSAVAL                               216.00                0.00                0.00                  0.00              0.00                0.00                0.00
00149 MAINDARGI                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
                                                                                Bank  of  Maharashtra                                                       Date: 07-MAR-25 02:56:42
                                                                          BOM_POSITION_OF_SUSPENSE_ACCOUNTS                                                                Page:   4
                                                                                As on date : 06-Mar-2025                                                                               
                                                                                                                                                                                    
Currency: INR                                                                                                                                                                       
 Branch=09999 (CENTRAL OFFICE)                                                                                                                                             
Branch                                 MULTI REMIT         TRICKLE FEED        O L R R             TECH CONTRA         CGL SUSPENSE        NEFT SUSPENSE       RTGS SUSPENSE        
---------------------------------------==================  ==================  ==================  ==================  ==================  ==================  ==================   
00150 AJRA                                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00151 THANE KOPRI                           1870.00                0.00                0.00                  0.00              0.00                0.00                0.00
00152 SAMBHAJINAGAR UNIVERSITY                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00153 NAGPUR SHANKARNAGAR                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00154 PUNE NARAYAN PETH                        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00155 MUMBAI TARDEO ROAD                   87164.00                0.00                0.00                482.00              0.00                0.00                0.00
00156 NANDRE                                   0.00                0.00                0.00               1778.00              0.00                0.00                0.00
00157 ALE                                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00158 PUNE PARVATI                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00159 BELGAUM TILAKWADI                        0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00160 MALEGAON (PUNE)                        637.00                0.00                0.00                  0.00              0.00                0.00                0.00
00161 MUMBAI THAKURDWAR ROAD                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00162 BANGALORE BASAVANGUDI                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00163 SOLAPUR CAMP                           275.00                0.00                0.00               1877.38              0.00                0.00                0.00
00164 MUMBAI BANDRA EAST                       0.00                0.00                0.00               1301.60              0.00                0.00                0.00
00165 SAIKHEDA                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00166 NASIK S.S.I.SATPUR                       0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00167 WAVI                                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00168 VANI NASIK                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00169 VADNER BHAIRAV                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00170 PUNE KASARWADI                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00171 KEDGAON                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00172 PATAS                                 1020.00                0.00                0.00                  0.00              0.00                0.00                0.00
00173 PABAL                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00174 GHODEGAON                                0.00              671.00                0.00               1416.00              0.00                0.00                0.00
00175 YEWAT                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00176 SUPA                                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00177 WALHE                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00178 JAMBHULPADA                              0.00                0.00                0.00                  1.00              0.00                0.00                0.00
00179 SINDEWAHI                             1700.00                0.00                0.00                  0.00              0.00                0.00                0.00
00180 CHIMUR                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00181 BHADRAVATI                               0.00             3500.00                0.00               4100.00              0.00                0.00                0.00
00182 MUL                                      0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00183 MUMBAI BYCULLA                           0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00184 PUNE GHORPADI                            0.00            27551.00                0.00                  0.00              0.00                0.00                0.00
00185 PUNE GURUWARPETH                         0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00186 SHENDURJANAGHAT                         45.00                0.00                0.00                  0.00              0.00                0.00                0.00
00187 DINDORI                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00188 KARAD                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00189 PADGHA                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00190 KASARA                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00191 KINHAVALI                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00192 TITWALA                                  0.00                0.00                0.00                  1.00              0.00                0.00                0.00
00193 ARNALA                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00194 DAHANU                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00195 PALGHAR                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00196 CHIKALTHANA                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00197 NALLA SOPARA                             0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00198 GANESH-PURI                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00199 ELLORA                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
                                                                                Bank  of  Maharashtra                                                       Date: 07-MAR-25 02:56:42
                                                                          BOM_POSITION_OF_SUSPENSE_ACCOUNTS                                                                Page:   5
                                                                                As on date : 06-Mar-2025                                                                               
                                                                                                                                                                                    
Currency: INR                                                                                                                                                                       
 Branch=09999 (CENTRAL OFFICE)                                                                                                                                             
Branch                                 MULTI REMIT         TRICKLE FEED        O L R R             TECH CONTRA         CGL SUSPENSE        NEFT SUSPENSE       RTGS SUSPENSE        
---------------------------------------==================  ==================  ==================  ==================  ==================  ==================  ==================   
00200 WAI Branch                               0.00                0.00                0.00                  0.00              0.00            16750.00                0.00
00201 TEMBHURNI                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00202 BIDKIN                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00203 PACHOD                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00204 BADNAPUR                                 0.00                0.00                0.00                  1.00-             0.00                0.00                0.00
00205 PISHORE                              25000.00                0.00                0.00                  0.00              0.00                0.00                0.00
00206 JAFARABAD                                0.00                0.00                0.00               2028.80              0.00                0.00                0.00
00207 SHIVOOR                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00208 SOEGAON                                  0.00            14507.00                0.00                  0.00              0.00                0.00                0.00
00209 DHAWADA                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00210 VELHE-MAHAL                              0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00211 REDI                                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00212 NASRAPUR                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00213 AHMEDABAD BHADRA                         0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00214 NASIK COLLEGE CAMPUS                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00215 TARADGAON                                0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00216 BHUINJ                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00217 NIRMAL                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00218 SHIRWAL                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00219 PANCHAGANI                               0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00220 TARALE                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00221 NAGTHANE                                 0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00222 MANOR                                    0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00223 KHATAV                                   0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00224 MHASWAD                                  0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00225 WATHAR STAION                            0.00                0.00                0.00                  0.00              0.00                0.00                0.00
00227 MUMBAI VIKHROLI EAST                     0.00                0.00                0.00                  0.00              0.00                0.00                0.00
